CUSTNO,전체 분기 중요 카테고리 top_1,전체 분기 중요 카테고리 top_2
11070,[{'식품/생활_중가': 4612848.652400675}],[{'식품/생활_저가': 1696072.0877145221}]
11071,[{'의류/이미용_중가': 61513539.08992704}],[{'식품/생활_중가': 5333942.085307825}]
11073,[{'식품/생활_중가': 5452880.113179592}],[{'의류/이미용_저가': 1895913.1891027472}]
11074,[{'식품/생활_중가': 6154718.670041779}],[{'식품/생활_저가': 1793372.1669906462}]
11075,[{'식품/생활_고가': 33769172.313080296}],[{'가전/레저취미/멀티샵_고가': 4055257.81795701}]
11076,[{'식품/생활_중가': 5645965.313366434}],[{'의류/이미용_저가': 3326526.8264721376}]
11077,[{'식품/생활_중가': 2171116.6674129525}],[{'식품/생활_저가': 541356.5769646266}]
11078,[{'식품/생활_중가': 3098385.7155572465}],[{'식품/생활_고가': 1643191.4634598203}]
11079,[{'식품/생활_중가': 8679388.572284076}],[{'식품/생활_고가': 3637812.2501782877}]
11080,[{'의류/이미용_중가': 16914790.385795604}],[{'교육문화/아동_중가': 11072767.272495229}]
11081,[{'의류/이미용_고가': 5019507.9294287525}],[{'의류/이미용_중가': 3126937.8978650025}]
11082,[{'식품/생활_중가': 4208202.839168445}],[{'식품/생활_저가': 3034874.4950429336}]
11083,[{'식품/생활_중가': 4011142.192352182}],[{'의류/이미용_중가': 3926689.762154458}]
11084,[{'식품/생활_중가': 5317823.32550476}],[{'식품/생활_고가': 1481172.3882623885}]
11086,[{'식품/생활_중가': 4796770.589763251}],[{'의류/이미용_고가': 4174201.8741558655}]
11087,[{'식품/생활_중가': 5331089.982807623}],[{'식품/생활_저가': 1065197.4204666736}]
11088,[{'식품/생활_중가': 4670257.80446887}],[{'교육문화/아동_중가': 1561180.0752632346}]
11089,[{'의류/이미용_고가': 11991916.324749729}],[{'의류/이미용_중가': 8748287.983183526}]
11090,[{'식품/생활_중가': 7195049.305594889}],[{'식품/생활_고가': 5735157.298720957}]
11091,[{'식품/생활_중가': 7100322.211959088}],[{'식품/생활_저가': 2759507.732304549}]
11092,[{'식품/생활_중가': 4532109.643278919}],[{'식품/생활_저가': 1188623.8012991264}]
11093,[{'식품/생활_중가': 3533730.0084415516}],[{'식품/생활_저가': 1284869.584688508}]
11094,[{'의류/이미용_중가': 2750636.0937174894}],[{'식품/생활_중가': 2104818.7444046624}]
11095,[{'의류/이미용_중가': 41289894.46962954}],[{'의류/이미용_고가': 5165420.083609756}]
11096,[{'가전/레저취미/멀티샵_고가': 31529664.88814616}],[{'침구/주방_고가': 22119853.862543423}]
11097,[{'식품/생활_중가': 4726847.493525188}],[{'식품/생활_고가': 1579568.3068259528}]
11098,[{'식품/생활_중가': 5386832.135537575}],[{'교육문화/아동_중가': 4708059.957106496}]
11099,[{'식품/생활_중가': 5277649.086660764}],[{'가구인테리어/잡화_고가': 2769561.002402583}]
11100,[{'식품/생활_중가': 4918269.0519454675}],[{'식품/생활_저가': 3218956.648126488}]
11101,[{'의류/이미용_중가': 54569664.29891425}],[{'의류/이미용_고가': 41817722.986539006}]
11102,[{'식품/생활_중가': 8723150.432032788}],[{'식품/생활_고가': 2052707.6343711442}]
11103,[{'의류/이미용_중가': 7099001.658927419}],[{'식품/생활_중가': 4034379.901076046}]
11104,[{'식품/생활_중가': 6064632.234074714}],[{'의류/이미용_저가': 1962628.4885263294}]
11105,[{'의류/이미용_중가': 28604161.73915919}],[{'가전/레저취미/멀티샵_중가': 9592856.083204372}]
11106,[{'식품/생활_중가': 6298698.10243081}],[{'의류/이미용_저가': 1878892.2216828673}]
11107,[{'식품/생활_중가': 4103305.937088323}],[{'식품/생활_저가': 2512201.4226116496}]
11108,[{'의류/이미용_중가': 19753583.97150013}],[{'의류/이미용_고가': 5839487.968490928}]
11109,[{'식품/생활_중가': 6842619.000300763}],[{'식품/생활_저가': 2634505.41252616}]
11110,[{'의류/이미용_중가': 98800437.86532915}],[{'가구인테리어/잡화_고가': 16965476.063533653}]
11111,[{'식품/생활_중가': 10234475.52362973}],[{'식품/생활_저가': 2372248.846042152}]
11112,[{'식품/생활_중가': 3059465.0827712063}],[{'식품/생활_저가': 463586.7619101935}]
11113,[{'식품/생활_중가': 4092850.25540616}],[{'식품/생활_저가': 3215872.8099624263}]
11114,[{'식품/생활_중가': 10481918.45346177}],[{'식품/생활_저가': 2653992.473476218}]
11115,[{'식품/생활_중가': 13972253.40520153}],[{'식품/생활_저가': 4299121.786589036}]
11116,[{'식품/생활_중가': 7276376.799506383}],[{'식품/생활_저가': 1561069.3002170366}]
11117,[{'식품/생활_중가': 11579867.55273843}],[{'식품/생활_고가': 5263395.9443852985}]
11118,[{'식품/생활_중가': 6031453.875529679}],[{'의류/이미용_고가': 2884769.9441879657}]
11119,[{'식품/생활_중가': 7023581.677204243}],[{'의류/이미용_저가': 997168.5428504866}]
11120,[{'식품/생활_중가': 4949566.5694477875}],[{'식품/생활_저가': 2726286.1727395924}]
11121,[{'식품/생활_중가': 6093514.238228368}],[{'의류/이미용_저가': 1919463.252394853}]
11122,[{'식품/생활_중가': 7518674.924957772}],[{'식품/생활_고가': 3762037.366727626}]
11123,[{'의류/이미용_중가': 5690729.27276778}],[{'식품/생활_중가': 5538712.869305074}]
11124,[{'식품/생활_중가': 3658838.3270159443}],[{'의류/이미용_저가': 3478819.919822856}]
11125,[{'가구인테리어/잡화_고가': 31225812.629515544}],[{'의류/이미용_중가': 24397313.016588833}]
11126,[{'식품/생활_중가': 4288613.570984252}],[{'식품/생활_저가': 2335584.811441621}]
11127,[{'식품/생활_중가': 6060512.051519181}],[{'의류/이미용_중가': 3434670.368786308}]
11128,[{'의류/이미용_중가': 10656495.57977345}],[{'식품/생활_고가': 4062289.370509636}]
11129,[{'식품/생활_중가': 73187831.63479696}],[{'식품/생활_고가': 42264576.60794319}]
11130,[{'식품/생활_중가': 4725757.415973926}],[{'식품/생활_고가': 1813507.248349724}]
11131,[{'식품/생활_중가': 3537357.9575470425}],[{'가구인테리어/잡화_저가': 1955632.5954559469}]
11132,[{'식품/생활_중가': 1923896.025726431}],[{'식품/생활_저가': 851851.3691959204}]
11133,[{'식품/생활_중가': 6379411.438573796}],[{'의류/이미용_저가': 4413949.819849964}]
11134,[{'의류/이미용_고가': 8222542.639533769}],[{'식품/생활_중가': 3827219.7415110623}]
11135,[{'의류/이미용_저가': 3687549.405788902}],[{'식품/생활_중가': 3326207.2828067453}]
11136,[{'의류/이미용_중가': 44515361.36290969}],[{'가구인테리어/잡화_고가': 25700642.054963633}]
11137,[{'의류/이미용_중가': 6519075.459908051}],[{'가구인테리어/잡화_고가': 6010715.441684575}]
11138,[{'의류/이미용_중가': 6634432.493677506}],[{'식품/생활_중가': 3890924.062149304}]
11139,[{'식품/생활_중가': 4651416.225123541}],[{'식품/생활_저가': 787501.5095378775}]
11140,[{'식품/생활_중가': 7084993.9878550265}],[{'식품/생활_고가': 1833769.8500698057}]
11141,[{'식품/생활_중가': 10143631.694130095}],[{'식품/생활_고가': 1649151.9672682066}]
11142,[{'식품/생활_중가': 5399015.443346131}],[{'가구인테리어/잡화_중가': 1638715.8612613552}]
11143,[{'의류/이미용_중가': 11002339.708783878}],[{'의류/이미용_고가': 6788146.559813788}]
11144,[{'식품/생활_중가': 4497258.060360475}],[{'식품/생활_저가': 2099948.3059833627}]
11145,[{'의류/이미용_중가': 21014803.640923664}],[{'가구인테리어/잡화_중가': 13036645.304301828}]
11146,[{'의류/이미용_중가': 18127182.378055073}],[{'의류/이미용_고가': 12579688.900947433}]
11147,[{'식품/생활_중가': 3898398.0057445136}],[{'식품/생활_저가': 1597580.9254662823}]
11148,[{'의류/이미용_중가': 21184173.729688916}],[{'가구인테리어/잡화_고가': 13111843.314481055}]
11149,[{'식품/생활_중가': 2943140.769537876}],[{'식품/생활_저가': 1666477.8548899593}]
11150,[{'식품/생활_중가': 5248830.387304693}],[{'식품/생활_저가': 2849778.868249513}]
11151,[{'식품/생활_중가': 4831268.852120267}],[{'식품/생활_저가': 1249558.3985851812}]
11152,[{'식품/생활_고가': 2572438.7820252776}],[{'식품/생활_중가': 2481561.4933389844}]
11153,[{'의류/이미용_중가': 13765675.620201975}],[{'가전/레저취미/멀티샵_중가': 12371993.75510569}]
11154,[{'가구인테리어/잡화_고가': 17264823.96527072}],[{'의류/이미용_중가': 16588115.29427906}]
11155,[{'식품/생활_중가': 3216653.735816231}],[{'식품/생활_고가': 1971045.3492949905}]
11156,[{'식품/생활_고가': 15622002.544132492}],[{'의류/이미용_중가': 4775835.856524706}]
11157,[{'식품/생활_중가': 3629502.3560911794}],[{'식품/생활_저가': 3318729.266863786}]
11158,[{'의류/이미용_중가': 7827429.25358566}],[{'식품/생활_중가': 7782204.977028526}]
11159,[{'식품/생활_중가': 5562637.66561633}],[{'식품/생활_저가': 2605090.2286382564}]
11160,[{'식품/생활_고가': 5226927.755369623}],[{'식품/생활_중가': 3481003.1011979785}]
11161,[{'식품/생활_중가': 7065802.341943889}],[{'식품/생활_저가': 3798070.1257206923}]
11162,[{'식품/생활_중가': 5661999.115673325}],[{'식품/생활_저가': 1800403.292768768}]
11163,[{'의류/이미용_중가': 9751489.719858453}],[{'가구인테리어/잡화_중가': 2961786.3100052862}]
11164,[{'의류/이미용_중가': 9156611.236549402}],[{'식품/생활_중가': 5369319.765437867}]
11165,[{'식품/생활_중가': 6991087.7155912435}],[{'식품/생활_고가': 3349641.63702791}]
11166,[{'식품/생활_중가': 5605633.29865251}],[{'식품/생활_고가': 5217251.675966514}]
11167,[{'의류/이미용_중가': 13590301.468921026}],[{'가구인테리어/잡화_고가': 11378172.947434662}]
11168,[{'식품/생활_중가': 5788729.980068691}],[{'식품/생활_저가': 3485569.95804656}]
11169,[{'의류/이미용_고가': 22664740.632038645}],[{'교육문화/아동_중가': 12034490.732723106}]
11170,[{'식품/생활_중가': 4869168.000990882}],[{'식품/생활_저가': 1516547.026455301}]
11171,[{'식품/생활_중가': 3781756.742011099}],[{'식품/생활_저가': 1874013.2276684097}]
11172,[{'식품/생활_중가': 6470169.78122655}],[{'식품/생활_고가': 1901539.6653096906}]
11173,[{'식품/생활_중가': 7492928.843411086}],[{'교육문화/아동_중가': 7331987.420163057}]
11174,[{'의류/이미용_중가': 14890000.506284386}],[{'의류/이미용_고가': 7990899.522073928}]
11175,[{'식품/생활_중가': 5543241.815179984}],[{'식품/생활_고가': 1329968.8357103674}]
11176,[{'의류/이미용_중가': 7841548.814976639}],[{'식품/생활_중가': 6969788.526427311}]
11177,[{'의류/이미용_중가': 10432712.075242005}],[{'의류/이미용_고가': 10159677.555480856}]
11178,[{'식품/생활_중가': 3153690.4197203205}],[{'식품/생활_저가': 1679902.360272529}]
11179,[{'식품/생활_중가': 4788330.442591786}],[{'식품/생활_저가': 1778620.519988857}]
11180,[{'식품/생활_중가': 4010957.5676029962}],[{'식품/생활_저가': 1490552.7966198646}]
11181,[{'의류/이미용_중가': 56621183.05102822}],[{'의류/이미용_고가': 14167833.876944274}]
11182,[{'의류/이미용_중가': 20971341.24423619}],[{'가전/레저취미/멀티샵_중가': 15514628.05111892}]
11183,[{'의류/이미용_고가': 9585362.050023297}],[{'가구인테리어/잡화_고가': 8677837.071339596}]
11184,[{'식품/생활_중가': 8659266.236748975}],[{'의류/이미용_저가': 1697338.9733727793}]
11185,[{'식품/생활_중가': 12746143.544986164}],[{'식품/생활_고가': 4272085.469695725}]
11186,[{'식품/생활_중가': 4661073.373088404}],[{'의류/이미용_저가': 1791200.3016524722}]
11187,[{'식품/생활_중가': 8497203.11323996}],[{'식품/생활_고가': 3351506.9151680907}]
11188,[{'의류/이미용_중가': 26718537.913694046}],[{'가전/레저취미/멀티샵_중가': 12798989.209208103}]
11189,[{'식품/생활_중가': 7944282.121859129}],[{'의류/이미용_고가': 6241872.118432027}]
11190,[{'가구인테리어/잡화_고가': 44727528.16189783}],[{'의류/이미용_중가': 19792155.91309888}]
11191,[{'식품/생활_중가': 8731836.95202525}],[{'식품/생활_저가': 3706084.615313391}]
11192,[{'의류/이미용_중가': 6928238.961075285}],[{'침구/주방_고가': 6818906.867040975}]
11193,[{'의류/이미용_중가': 9418666.856131818}],[{'의류/이미용_고가': 5471627.253681574}]
11194,[{'식품/생활_중가': 4907344.011662811}],[{'식품/생활_저가': 3324317.5012631607}]
11196,[{'식품/생활_중가': 3824517.234911082}],[{'의류/이미용_저가': 1391186.7173082137}]
11197,[{'식품/생활_중가': 2761986.741577286}],[{'식품/생활_저가': 2673216.8485153723}]
11198,[{'의류/이미용_중가': 11591433.554459434}],[{'식품/생활_중가': 10752356.117630905}]
11199,[{'교육문화/아동_중가': 14820145.441018539}],[{'의류/이미용_중가': 8500230.604525894}]
11200,[{'식품/생활_중가': 9037272.966075689}],[{'의류/이미용_중가': 4116011.288213019}]
11201,[{'의류/이미용_저가': 4558341.655925147}],[{'의류/이미용_중가': 3997438.4164507585}]
11202,[{'식품/생활_중가': 3132311.6824277844}],[{'식품/생활_저가': 2230097.928162135}]
11203,[{'식품/생활_중가': 3543493.6963796224}],[{'식품/생활_저가': 789773.6120487176}]
11204,[{'식품/생활_중가': 9182670.52670389}],[{'식품/생활_저가': 3246038.4570341595}]
11205,[{'가구인테리어/잡화_고가': 45652774.48048155}],[{'가전/레저취미/멀티샵_고가': 20188929.000141766}]
11206,[{'가구인테리어/잡화_고가': 47378407.29947022}],[{'의류/이미용_중가': 42418714.22165429}]
11207,[{'의류/이미용_중가': 73564455.74358678}],[{'가구인테리어/잡화_고가': 28542182.995248105}]
11208,[{'가전/레저취미/멀티샵_고가': 6142942.275597438}],[{'의류/이미용_중가': 5644373.835450847}]
11209,[{'의류/이미용_중가': 2337546.2471424546}],[{'가전/레저취미/멀티샵_중가': 657931.7591524288}]
11210,[{'식품/생활_중가': 7990190.441505117}],[{'식품/생활_저가': 1916250.67424661}]
11211,[{'식품/생활_중가': 4829241.123306103}],[{'식품/생활_저가': 1900093.505878569}]
11212,[{'식품/생활_중가': 3134727.0163589143}],[{'식품/생활_고가': 924658.9068707037}]
11213,[{'식품/생활_중가': 6259059.003521161}],[{'의류/이미용_저가': 4911662.0250594895}]
11214,[{'식품/생활_중가': 3594196.3385000075}],[{'의류/이미용_중가': 1855610.5831559224}]
11215,[{'의류/이미용_중가': 23508425.962688193}],[{'의류/이미용_고가': 8414258.564423103}]
11216,[{'의류/이미용_중가': 22845919.483571384}],[{'가구인테리어/잡화_중가': 9997910.17070459}]
11217,[{'식품/생활_중가': 9174265.366500214}],[{'식품/생활_저가': 3082802.164254859}]
11218,[{'의류/이미용_중가': 17037089.545200042}],[{'의류/이미용_고가': 14597840.443892935}]
11219,[{'식품/생활_중가': 8000100.961937107}],[{'식품/생활_저가': 2525576.732103844}]
11220,[{'식품/생활_중가': 7246413.720778783}],[{'식품/생활_저가': 2573609.1820870466}]
11221,[{'식품/생활_중가': 5046124.051352258}],[{'식품/생활_고가': 1859246.7684600838}]
11222,[{'식품/생활_중가': 7168167.091765207}],[{'식품/생활_고가': 1098718.5267692334}]
11223,[{'식품/생활_중가': 8180755.696569992}],[{'식품/생활_저가': 2914613.2495338954}]
11224,[{'식품/생활_중가': 6320208.652890904}],[{'식품/생활_저가': 2257312.722092851}]
11225,[{'식품/생활_중가': 8730941.160702523}],[{'의류/이미용_중가': 7921570.47012124}]
11226,[{'식품/생활_중가': 3882898.1774913766}],[{'가전/레저취미/멀티샵_중가': 741911.0408413219}]
11228,[{'식품/생활_중가': 8335003.903297115}],[{'가전/레저취미/멀티샵_저가': 3406538.9883714225}]
11229,[{'식품/생활_중가': 7102562.546661888}],[{'가전/레저취미/멀티샵_고가': 2178782.0601486173}]
11230,[{'식품/생활_중가': 2697686.6300764307}],[{'식품/생활_고가': 1034060.6378921496}]
11231,[{'식품/생활_중가': 3663883.6219467083}],[{'의류/이미용_중가': 2457214.5896816957}]
11232,[{'식품/생활_중가': 5053670.868345397}],[{'식품/생활_저가': 2673756.6338582793}]
11233,[{'식품/생활_중가': 5480864.603976401}],[{'식품/생활_고가': 4587049.275365589}]
11234,[{'가전/레저취미/멀티샵_고가': 15163483.378521934}],[{'의류/이미용_중가': 13908258.0601003}]
11235,[{'의류/이미용_중가': 20603991.91376268}],[{'가전/레저취미/멀티샵_고가': 12594185.861117661}]
11236,[{'식품/생활_중가': 5813182.332089673}],[{'의류/이미용_중가': 2006274.3735962769}]
11237,[{'식품/생활_중가': 5809559.698232987}],[{'식품/생활_저가': 2087077.15478134}]
11238,[{'식품/생활_중가': 7782677.5711853085}],[{'식품/생활_저가': 2294497.1012668572}]
11239,[{'식품/생활_중가': 3757386.6935077305}],[{'식품/생활_저가': 1139313.821275614}]
11240,[{'식품/생활_중가': 5339759.151187001}],[{'의류/이미용_저가': 1626508.3600344458}]
11241,[{'식품/생활_중가': 5752016.230774209}],[{'가구인테리어/잡화_중가': 4221208.58204278}]
11242,[{'식품/생활_중가': 3906873.5615416965}],[{'식품/생활_저가': 999636.8853794396}]
11243,[{'식품/생활_중가': 3087570.440142279}],[{'식품/생활_고가': 2750439.2999854432}]
11244,[{'식품/생활_중가': 6183965.881791339}],[{'교육문화/아동_중가': 2408799.084315547}]
11245,[{'식품/생활_중가': 3515212.195368932}],[{'의류/이미용_저가': 1251816.4872399215}]
11246,[{'식품/생활_중가': 5962206.206544652}],[{'식품/생활_저가': 1351174.2722884482}]
11247,[{'식품/생활_중가': 167253832.18771175}],[{'의류/이미용_고가': 6192374.8165330775}]
11248,[{'식품/생활_중가': 6707375.260926086}],[{'식품/생활_저가': 2074489.1258181324}]
11249,[{'의류/이미용_중가': 22157486.471083093}],[{'식품/생활_중가': 10240808.114580201}]
11250,[{'식품/생활_중가': 4991546.875693552}],[{'식품/생활_저가': 3052242.350860713}]
11251,[{'의류/이미용_고가': 102890575.84126261}],[{'식품/생활_중가': 5507982.496086972}]
11252,[{'식품/생활_중가': 3133057.9612253034}],[{'식품/생활_고가': 1877792.8980341917}]
11253,[{'식품/생활_중가': 6065110.555641683}],[{'식품/생활_저가': 3008292.8363232086}]
11254,[{'식품/생활_중가': 6848916.280797785}],[{'식품/생활_고가': 2078859.1540579197}]
11255,[{'식품/생활_중가': 19986116.92783337}],[{'식품/생활_저가': 8343744.013091457}]
11256,[{'의류/이미용_고가': 44319938.72707178}],[{'의류/이미용_중가': 19608014.154703163}]
11258,[{'교육문화/아동_중가': 11879148.42155606}],[{'의류/이미용_중가': 5523588.137840629}]
11259,[{'식품/생활_중가': 4486783.756880769}],[{'의류/이미용_저가': 1423559.3392989351}]
11260,[{'의류/이미용_중가': 4631734.054229946}],[{'식품/생활_중가': 4011927.132045498}]
11261,[{'식품/생활_중가': 2897560.658891631}],[{'식품/생활_저가': 2475541.472490216}]
11262,[{'의류/이미용_중가': 150458909.15630892}],[{'가구인테리어/잡화_고가': 41376504.09532326}]
11263,[{'식품/생활_중가': 4050126.0607051915}],[{'의류/이미용_저가': 2806064.098527484}]
11264,[{'식품/생활_중가': 4580289.781675632}],[{'식품/생활_고가': 1766550.09030486}]
11265,[{'식품/생활_중가': 6106104.738570637}],[{'의류/이미용_중가': 1566766.0197191357}]
11266,[{'식품/생활_중가': 3986502.5001026224}],[{'식품/생활_고가': 1144354.0227750905}]
11267,[{'식품/생활_중가': 6984350.923879016}],[{'식품/생활_고가': 6301631.629722968}]
11268,[{'식품/생활_중가': 4146043.9149093563}],[{'의류/이미용_저가': 1130559.7835706996}]
11269,[{'식품/생활_중가': 2089685.5826225898}],[{'식품/생활_저가': 835140.6450735709}]
11270,[{'식품/생활_중가': 3766891.7689316263}],[{'의류/이미용_저가': 2010299.3894521282}]
11271,[{'식품/생활_중가': 2521341.8006417225}],[{'식품/생활_고가': 1059064.393987484}]
11272,[{'의류/이미용_중가': 32669252.846019037}],[{'의류/이미용_고가': 8121969.877141503}]
11273,[{'식품/생활_중가': 3186049.7288104724}],[{'식품/생활_고가': 1443304.3279271754}]
11274,[{'식품/생활_중가': 5690542.154278088}],[{'식품/생활_저가': 4689148.900795714}]
11275,[{'식품/생활_중가': 8477118.120323366}],[{'식품/생활_저가': 2178151.2175599695}]
11276,[{'식품/생활_중가': 8231861.669214746}],[{'식품/생활_저가': 1828330.2995221834}]
11277,[{'식품/생활_중가': 4988343.077847634}],[{'식품/생활_고가': 2485419.8205937925}]
11278,[{'의류/이미용_중가': 11868270.204773733}],[{'식품/생활_중가': 6572476.321593786}]
11279,[{'식품/생활_중가': 5718139.0113748135}],[{'식품/생활_저가': 2072293.7056552581}]
11280,[{'식품/생활_중가': 9768410.196930923}],[{'식품/생활_저가': 4210084.903169885}]
11281,[{'식품/생활_중가': 9161402.017928312}],[{'가구인테리어/잡화_고가': 4858050.122518215}]
11282,[{'교육문화/아동_중가': 5404567.980440839}],[{'식품/생활_중가': 4582855.836639495}]
11283,[{'식품/생활_중가': 6002003.700669625}],[{'식품/생활_저가': 2328604.1864233194}]
11284,[{'식품/생활_중가': 6588044.026626833}],[{'식품/생활_저가': 3657686.8296621777}]
11285,[{'식품/생활_중가': 5602057.629746109}],[{'식품/생활_저가': 1966107.068189807}]
11286,[{'식품/생활_중가': 4143465.715451094}],[{'식품/생활_저가': 3094750.5562162306}]
11287,[{'식품/생활_중가': 6516453.591748195}],[{'식품/생활_고가': 1161446.7923336725}]
11288,[{'식품/생활_중가': 4768939.7924743015}],[{'식품/생활_고가': 1267832.0617198155}]
11289,[{'식품/생활_중가': 1742742.9321384658}],[{'식품/생활_저가': 603574.3947526106}]
11290,[{'침구/주방_고가': 6471950.280445959}],[{'식품/생활_중가': 5553781.243489142}]
11291,[{'식품/생활_중가': 7830078.052311793}],[{'식품/생활_저가': 3334273.3213593885}]
11292,[{'식품/생활_중가': 4300472.997876077}],[{'식품/생활_저가': 1836399.765197902}]
11293,[{'식품/생활_중가': 5570991.874441989}],[{'식품/생활_저가': 2032254.9239984546}]
11294,[{'식품/생활_중가': 3927567.7185598565}],[{'의류/이미용_중가': 2658644.826104371}]
11295,[{'식품/생활_중가': 3803383.2808925593}],[{'의류/이미용_저가': 2624766.169487587}]
11296,[{'식품/생활_중가': 2093593.8333006646}],[{'의류/이미용_고가': 1350700.0373189703}]
11297,[{'식품/생활_중가': 4305918.551015604}],[{'식품/생활_저가': 1334051.8944393483}]
11298,[{'식품/생활_중가': 3686570.924532766}],[{'식품/생활_저가': 1131947.5774680963}]
11299,[{'식품/생활_중가': 4633707.79542156}],[{'의류/이미용_저가': 2084455.1563607438}]
11300,[{'식품/생활_중가': 4610796.005255084}],[{'의류/이미용_중가': 4542497.016998642}]
11301,[{'의류/이미용_중가': 4640439.146067943}],[{'가전/레저취미/멀티샵_중가': 4093569.249677376}]
11302,[{'식품/생활_중가': 7835112.020910657}],[{'의류/이미용_중가': 2027876.4084063894}]
11303,[{'식품/생활_중가': 5445651.007397225}],[{'의류/이미용_저가': 1377796.9311482683}]
11304,[{'식품/생활_중가': 11016759.981169969}],[{'식품/생활_저가': 2631511.297801432}]
11305,[{'식품/생활_중가': 9494037.858594881}],[{'의류/이미용_저가': 4281177.459889932}]
11306,[{'식품/생활_중가': 4676984.073740191}],[{'식품/생활_저가': 3105966.0034869798}]
11307,[{'의류/이미용_중가': 23976792.56137793}],[{'식품/생활_중가': 15535500.353373595}]
11309,[{'의류/이미용_중가': 19238893.07270927}],[{'식품/생활_중가': 11183951.112537855}]
11310,[{'의류/이미용_고가': 7778964.856071884}],[{'의류/이미용_중가': 6968949.482111469}]
11311,[{'의류/이미용_고가': 28120179.13676834}],[{'의류/이미용_중가': 5095986.528289262}]
11312,[{'식품/생활_중가': 7140511.213106528}],[{'식품/생활_고가': 2310643.709603857}]
11313,[{'식품/생활_중가': 4980931.626047879}],[{'식품/생활_저가': 2936152.8165147463}]
11314,[{'식품/생활_중가': 7576982.783149668}],[{'의류/이미용_고가': 4340892.154165869}]
11315,[{'식품/생활_중가': 7223183.523327647}],[{'식품/생활_저가': 3736739.0778111797}]
11316,[{'식품/생활_고가': 10366973.712506188}],[{'식품/생활_중가': 2928413.5310982373}]
11317,[{'의류/이미용_중가': 33866641.17839958}],[{'가구인테리어/잡화_고가': 14144443.365514021}]
11318,[{'의류/이미용_중가': 16038519.475774076}],[{'식품/생활_고가': 15730838.279339887}]
11319,[{'의류/이미용_중가': 3725391.1473550857}],[{'식품/생활_중가': 3609316.0199804506}]
11320,[{'의류/이미용_중가': 30255235.919821627}],[{'가전/레저취미/멀티샵_고가': 20512434.80264793}]
11321,[{'식품/생활_중가': 4755939.078801635}],[{'가구인테리어/잡화_중가': 1516743.4707287145}]
11322,[{'의류/이미용_고가': 95880633.05987816}],[{'가구인테리어/잡화_고가': 22290846.51208486}]
11323,[{'식품/생활_고가': 6806681.08529186}],[{'식품/생활_중가': 4882071.9982976485}]
11324,[{'식품/생활_중가': 6294630.462311014}],[{'의류/이미용_중가': 3067057.7753693364}]
11325,[{'식품/생활_중가': 11437691.441426016}],[{'의류/이미용_저가': 3046361.681010286}]
11326,[{'식품/생활_중가': 3754867.243904081}],[{'식품/생활_저가': 1555100.5796925423}]
11327,[{'식품/생활_중가': 5787376.075748308}],[{'식품/생활_저가': 1718428.7799818881}]
11328,[{'식품/생활_저가': 2161368.3876884137}],[{'식품/생활_중가': 2097050.9698879325}]
11329,[{'가구인테리어/잡화_고가': 14710317.173167191}],[{'식품/생활_중가': 9449457.519414768}]
11330,[{'가구인테리어/잡화_고가': 102502381.95414327}],[{'의류/이미용_중가': 6885195.29500292}]
11331,[{'의류/이미용_고가': 25328851.348675698}],[{'의류/이미용_중가': 6614754.194369225}]
11332,[{'식품/생활_중가': 8504453.685636524}],[{'식품/생활_저가': 1928554.3780861583}]
11333,[{'식품/생활_중가': 7370709.281517506}],[{'식품/생활_고가': 2983504.581714782}]
11334,[{'식품/생활_중가': 4792437.413238386}],[{'식품/생활_고가': 1718705.1416289168}]
11335,[{'식품/생활_중가': 7376316.08079671}],[{'식품/생활_고가': 6875998.502506508}]
11336,[{'가전/레저취미/멀티샵_중가': 1776556.123061404}],[{'의류/이미용_중가': 1727182.327662648}]
11337,[{'식품/생활_중가': 7398697.00414638}],[{'식품/생활_저가': 2378447.3888547127}]
11338,[{'식품/생활_중가': 2547930.25085317}],[{'식품/생활_저가': 883184.7035346618}]
11339,[{'식품/생활_중가': 6900948.483971724}],[{'식품/생활_고가': 1800790.546938799}]
11340,[{'식품/생활_중가': 8781514.292504895}],[{'식품/생활_저가': 2854754.3460909617}]
11341,[{'식품/생활_중가': 4887574.440857298}],[{'식품/생활_고가': 1692946.6802938606}]
11342,[{'의류/이미용_중가': 69293394.23471774}],[{'가구인테리어/잡화_고가': 34056129.391799346}]
11343,[{'의류/이미용_중가': 11120171.622042142}],[{'의류/이미용_고가': 7629012.64757587}]
11344,[{'식품/생활_중가': 8035608.10749699}],[{'의류/이미용_저가': 2413338.0660325214}]
11345,[{'의류/이미용_중가': 17048477.38803259}],[{'의류/이미용_고가': 8632581.810695183}]
11346,[{'식품/생활_중가': 3674235.0548613113}],[{'식품/생활_저가': 2543975.0056103487}]
11347,[{'식품/생활_중가': 2805687.4093984272}],[{'식품/생활_고가': 2131051.3139212634}]
11348,[{'식품/생활_중가': 6235608.907498218}],[{'식품/생활_저가': 2481570.937475094}]
11349,[{'식품/생활_중가': 4343705.628644785}],[{'의류/이미용_저가': 1565404.8845034244}]
11350,[{'의류/이미용_중가': 3194205.168908637}],[{'식품/생활_중가': 3017802.247848075}]
11351,[{'식품/생활_중가': 8690881.59672679}],[{'식품/생활_고가': 2358417.0738237826}]
11352,[{'식품/생활_중가': 8268903.913663733}],[{'식품/생활_고가': 6125081.515918487}]
11353,[{'식품/생활_중가': 5115587.022095667}],[{'가전/레저취미/멀티샵_중가': 3205582.616667136}]
